time_ps,T_K,P_GPa,PE_eV_atom,rho_g_cm3
2.030000000000000071e+01,7.665729807599999504e+02,-1.929140567736666867e-01,-4.774918240364583788e+00,1.465982607282459327e+00
2.035000000000000142e+01,7.718553360800000291e+02,3.028223694766666862e-01,-4.777062817135417028e+00,1.475201594702807650e+00
2.040000000000000213e+01,8.244428525700000137e+02,-3.302545912133333927e-01,-4.784702425520833025e+00,1.480500762630840628e+00
2.045000000000000284e+01,7.761460750300000200e+02,9.352393600723334088e-02,-4.780004268020833003e+00,1.491654682051158032e+00
2.050000000000000000e+01,8.549097571800000424e+02,2.344910668989999836e-01,-4.790343782708332832e+00,1.500214268060042766e+00
2.055000000000000071e+01,8.144097781200000554e+02,-2.710791776166666667e-01,-4.787946645312500138e+00,1.501778814146748298e+00
2.060000000000000142e+01,7.598630575600000157e+02,1.739706664433333383e-01,-4.783914759947916373e+00,1.509229251375567404e+00
2.065000000000000213e+01,8.362512481700000535e+02,8.772378217233334219e-02,-4.796850459010416401e+00,1.512674341934562294e+00
2.070000000000000284e+01,7.769614390000000412e+02,1.992546098883333228e-01,-4.794922990572916710e+00,1.511842268089843344e+00
2.075000000000000000e+01,7.060013824899999690e+02,-9.276873689219999886e-02,-4.791215887916666638e+00,1.507352951514442374e+00
2.080000000000000071e+01,7.807979085099999566e+02,-2.718870106400000930e-02,-4.802518012864583241e+00,1.502350676390177941e+00
2.085000000000000142e+01,7.804101348399999551e+02,-2.068055958329999833e-01,-4.801866487291666097e+00,1.498964400180981427e+00
2.090000000000000213e+01,8.193901386000000002e+02,-2.065141938776666741e-01,-4.800838699010416377e+00,1.500767836128288790e+00
2.095000000000000284e+01,7.910736729499999456e+02,-5.724160290000002149e-03,-4.784927761822916459e+00,1.506896348519197515e+00
2.100000000000000000e+01,8.443223433800000066e+02,1.482667756866666575e-01,-4.786101344947916836e+00,1.512358606031422692e+00
2.105000000000000071e+01,8.476379087000000254e+02,1.584370556369999739e-01,-4.784315107656250454e+00,1.512174276360943370e+00
2.110000000000000142e+01,8.228511292599999933e+02,1.850927842934800005e-01,-4.782152478541666696e+00,1.505827014093093386e+00
2.115000000000000213e+01,7.522540705100000196e+02,1.554719500596666859e-01,-4.775882089583332935e+00,1.492624342788366976e+00
2.120000000000000284e+01,8.425768177500000320e+02,-7.970431891427666449e-02,-4.790676540520833804e+00,1.475453845723208035e+00
