lag_ps,Li_A2,Zr_A2,Cl_A2,S_A2,O_A2
4.000000000000000000e+00,1.105351783408836663e+00,4.782721273502927861e-01,1.059378717048169438e+00,3.385451204157960969e-01,5.247481624423492308e-01
4.100000000000000533e+00,1.114834930712891525e+00,4.814484827046420223e-01,1.066822884321114495e+00,3.409730138666131061e-01,5.278586889696809115e-01
4.200000000000000178e+00,1.122509052884328451e+00,4.845580312897418418e-01,1.074606272358341830e+00,3.434278723664941357e-01,5.313118816430019153e-01
4.299999999999999822e+00,1.131221350203939213e+00,4.876391769901590734e-01,1.082167703908985645e+00,3.464150864889676273e-01,5.353004524001555575e-01
4.400000000000000355e+00,1.139661811596830443e+00,4.905249150060482233e-01,1.089282599051603961e+00,3.487147810748956744e-01,5.384021922385175962e-01
4.500000000000000000e+00,1.148354232612311954e+00,4.934133204709917342e-01,1.096450768747116333e+00,3.516315088915209497e-01,5.426352266099335742e-01
4.600000000000000533e+00,1.155981390193516534e+00,4.964869101255670603e-01,1.104016285623329763e+00,3.542096550589610149e-01,5.466558935835802435e-01
4.700000000000000178e+00,1.161908812267516078e+00,4.992231634449139643e-01,1.110104551695354935e+00,3.567927904116400817e-01,5.507429976754292245e-01
4.800000000000000711e+00,1.171326142571829987e+00,5.019553431090286733e-01,1.116394179750188842e+00,3.590195321379355264e-01,5.539481313182973432e-01
4.900000000000000355e+00,1.180800310508671069e+00,5.046980460494344678e-01,1.123943391307937079e+00,3.610304439619215766e-01,5.574018322642511070e-01
5.000000000000000000e+00,1.188613971019917059e+00,5.077949770902290272e-01,1.131696101688899114e+00,3.630844844881648270e-01,5.601004617866367497e-01
5.100000000000000533e+00,1.197633646316736744e+00,5.108024839098690428e-01,1.139654371901335006e+00,3.656934662203340514e-01,5.638797009171274688e-01
5.200000000000000178e+00,1.205621922379373601e+00,5.137546231599294799e-01,1.148207034684232575e+00,3.676449518570230612e-01,5.666559161207348483e-01
5.300000000000000711e+00,1.214043161641747304e+00,5.162671893523088640e-01,1.156465645970211842e+00,3.690312799839575719e-01,5.690729171575518164e-01
5.400000000000000355e+00,1.222297122529855340e+00,5.178078887029341493e-01,1.162755408416696890e+00,3.692004188746270121e-01,5.699422797222299941e-01
5.500000000000000000e+00,1.229382955235317265e+00,5.188558670997277522e-01,1.168203618836021196e+00,3.691737484513885059e-01,5.709240963477936193e-01
5.600000000000000533e+00,1.237489620978852178e+00,5.198381089027934721e-01,1.173406874219540041e+00,3.692003139655554711e-01,5.722887696298495364e-01
5.700000000000000178e+00,1.243319069131078480e+00,5.208908151433060407e-01,1.178696455756167216e+00,3.696534378005172927e-01,5.744651124881879900e-01
5.800000000000000711e+00,1.250425858623114728e+00,5.223392163533054910e-01,1.184479380266079573e+00,3.700035012700099712e-01,5.753966454738477232e-01
5.900000000000000355e+00,1.258935116840373958e+00,5.239750648127714516e-01,1.190461432305499612e+00,3.706763426584764320e-01,5.772134315143924166e-01
